user_id,item_id,like
user_521,item_85,0
user_817,item_355,0
user_1611,item_368,1
user_1328,item_153,1
user_1122,item_31,1
user_293,item_293,0
user_1014,item_369,0
user_1020,item_337,0
user_1806,item_459,0
user_304,item_388,0
user_1509,item_307,0
user_0,item_39,0
user_1086,item_6,0
user_574,item_275,0
user_1287,item_333,1
user_95,item_78,0
user_960,item_256,1
user_66,item_59,1
user_1619,item_117,0
user_1241,item_23,0
user_586,item_367,0
user_673,item_20,0
user_1053,item_249,0
user_785,item_103,1
user_83,item_334,0
user_1916,item_87,0
user_574,item_397,0
user_1593,item_40,0
user_474,item_141,0
user_546,item_408,0
user_209,item_294,0
user_1765,item_70,0
user_1458,item_472,0
user_957,item_300,0
user_45,item_61,0
user_179,item_194,0
user_1403,item_179,0
user_1453,item_396,0
user_1513,item_184,1
user_1816,item_206,0
user_1099,item_207,0
user_1985,item_16,0
user_1123,item_378,0
user_323,item_271,0
user_10,item_290,0
user_1785,item_295,0
user_446,item_476,0
user_860,item_464,0
user_1224,item_58,0
user_114,item_365,1
user_1633,item_12,0
user_611,item_445,0
user_971,item_355,0
user_96,item_214,0
user_4,item_50,0
user_1467,item_44,0
user_227,item_378,0
user_667,item_395,0
user_1870,item_239,1
user_629,item_480,0
user_711,item_480,0
user_1016,item_56,0
user_1939,item_491,0
user_1653,item_142,0
user_1879,item_243,1
user_299,item_58,0
user_368,item_194,0
user_211,item_497,0
user_1675,item_271,0
user_476,item_397,0
user_1402,item_345,0
user_1856,item_246,0
user_94,item_222,0
user_1723,item_93,0
user_1868,item_429,0
user_904,item_367,0
user_433,item_53,1
user_1926,item_359,0
user_1692,item_107,0
user_824,item_383,0
user_360,item_300,1
user_708,item_439,0
user_366,item_457,0
user_891,item_5,0
user_1837,item_246,1
user_576,item_450,0
user_1352,item_52,0
user_1848,item_486,0
user_1180,item_149,0
user_1623,item_316,1
user_1245,item_116,0
user_38,item_354,0
user_1902,item_434,0
user_565,item_138,0
user_1514,item_81,0
user_756,item_159,0
user_1687,item_163,0
user_1028,item_99,0
user_492,item_56,0
user_831,item_239,0
user_801,item_489,0
user_1543,item_428,1
user_749,item_197,0
user_1088,item_454,1
user_1103,item_433,0
user_1407,item_458,0
user_1221,item_172,1
user_853,item_191,1
user_468,item_32,0
user_840,item_174,0
user_285,item_363,0
user_1174,item_313,0
user_631,item_240,0
user_220,item_13,0
user_1608,item_153,0
user_1205,item_185,0
user_1504,item_392,0
user_427,item_6,0
user_1322,item_313,0
user_964,item_110,0
user_76,item_156,0
user_1278,item_120,0
user_1291,item_386,1
user_845,item_351,0
user_1249,item_26,0
user_1157,item_249,0
user_1661,item_485,0
user_1908,item_53,1
user_390,item_468,0
user_843,item_391,0
user_4,item_464,0
user_734,item_82,0
user_1880,item_416,0
user_1748,item_223,0
user_211,item_217,0
user_451,item_342,1
user_213,item_317,0
user_952,item_189,0
user_1794,item_477,0
user_794,item_420,1
user_1968,item_75,1
user_1194,item_234,0
user_937,item_358,0
user_1966,item_455,0
user_930,item_27,0
user_647,item_168,1
user_548,item_110,0
user_644,item_401,0
user_980,item_453,0
user_1033,item_208,0
user_1718,item_353,1
user_484,item_129,0
user_1733,item_456,0
user_629,item_167,0
user_938,item_402,0
user_143,item_248,0
user_1569,item_449,0
user_1114,item_321,0
user_170,item_44,0
user_1694,item_45,0
user_1642,item_310,1
user_1230,item_430,0
user_113,item_339,1
user_1141,item_454,0
user_194,item_215,0
user_74,item_258,0
user_1338,item_461,0
user_1504,item_440,0
user_1290,item_86,0
user_1117,item_9,0
user_1011,item_324,0
user_1351,item_308,0
user_992,item_202,1
user_872,item_82,0
user_450,item_257,0
user_1145,item_1,0
user_658,item_263,1
user_9,item_70,1
user_1999,item_28,1
user_163,item_245,1
user_95,item_158,1
user_594,item_351,0
user_1433,item_346,0
user_1657,item_168,0
user_215,item_321,0
user_1293,item_324,0
user_931,item_363,0
user_1185,item_41,0
user_1536,item_161,0
user_110,item_360,1
user_6,item_76,0
user_613,item_225,0
user_874,item_146,0
user_1488,item_263,0
user_1788,item_286,0
user_1788,item_432,0
user_366,item_475,0
user_1424,item_201,0
user_1599,item_169,0
user_1447,item_425,0
user_1209,item_296,0
user_393,item_393,1
user_808,item_124,0
user_1459,item_418,0
user_781,item_162,0
user_1631,item_468,0
user_1116,item_319,0
user_1969,item_10,0
user_883,item_182,0
user_472,item_415,0
user_1893,item_176,0
user_301,item_320,0
user_755,item_155,0
user_596,item_342,1
user_829,item_460,1
user_1254,item_215,0
user_1103,item_167,0
user_737,item_368,0
user_1232,item_127,0
user_1254,item_28,0
user_64,item_409,1
user_589,item_100,1
user_1685,item_42,0
user_1904,item_86,0
user_293,item_274,0
user_1965,item_306,0
user_837,item_417,0
user_1856,item_157,1
user_739,item_92,0
user_970,item_445,0
user_482,item_65,0
user_586,item_368,0
user_788,item_228,0
user_1682,item_427,1
user_1300,item_116,0
user_1145,item_51,0
user_29,item_210,1
user_1716,item_488,0
user_886,item_280,0
user_1145,item_77,0
user_1053,item_132,0
user_583,item_436,0
user_1327,item_105,0
user_1562,item_295,0
user_1810,item_159,0
user_1248,item_411,0
user_1578,item_417,0
user_141,item_89,0
user_127,item_317,0
user_1706,item_437,0
user_1873,item_391,0
user_284,item_276,1
user_0,item_489,0
user_845,item_299,0
user_1848,item_340,0
user_1477,item_104,0
user_1412,item_248,0
user_104,item_203,0
user_1339,item_210,0
user_767,item_343,0
user_157,item_280,0
user_973,item_433,0
user_967,item_85,1
user_1672,item_311,0
user_546,item_418,0
user_947,item_151,0
user_392,item_7,0
user_689,item_192,1
user_1342,item_15,0
user_1117,item_121,0
user_1840,item_489,0
user_1204,item_386,0
user_1391,item_427,0
user_1195,item_369,0
user_930,item_172,0
user_1795,item_72,0
user_1102,item_353,0
user_1144,item_499,1
user_1896,item_147,0
user_1519,item_124,0
user_1651,item_221,0
user_1930,item_412,0
user_212,item_450,0
user_1569,item_424,0
user_557,item_342,1
user_442,item_162,0
user_1536,item_259,0
user_1425,item_86,1
user_156,item_63,1
user_1208,item_361,0
user_1271,item_21,0
user_1519,item_74,0
user_1126,item_285,1
user_1581,item_144,0
user_1068,item_25,0
user_728,item_131,0
user_1261,item_267,0
user_1279,item_24,0
user_1192,item_288,0
user_1631,item_360,0
user_705,item_58,0
user_718,item_13,0
user_504,item_482,0
user_1842,item_197,0
user_1216,item_165,1
user_371,item_416,0
user_1742,item_449,0
user_491,item_392,1
user_1644,item_321,0
user_1593,item_53,0
user_337,item_68,1
user_197,item_106,1
user_1965,item_249,0
user_1617,item_291,0
user_1000,item_386,0
user_625,item_110,0
user_711,item_258,0
user_655,item_173,1
user_1679,item_130,0
user_1692,item_376,0
user_556,item_170,0
